iter	Passed	Remaining
405	2550	3731
406	2556	3724
407	2558	3711
408	2560	3699
409	2563	3688
410	2569	3681
411	2571	3669
412	2573	3658
413	2576	3646
414	2578	3634
415	2580	3623
416	2593	3625
417	2596	3614
418	2599	3604
419	2602	3593
420	2605	3583
421	2607	3571
422	2609	3559
423	2618	3557
424	2620	3545
425	2623	3534
426	2624	3522
427	2628	3512
428	2630	3501
429	2632	3489
430	2634	3477
431	2636	3466
432	2638	3454
433	2643	3447
434	2645	3435
435	2654	3433
436	2664	3432
437	2682	3442
438	2701	3452
439	2732	3477
440	2753	3490
441	2765	3490
442	2781	3496
443	2786	3489
444	2793	3483
445	2803	3482
446	2808	3474
447	2814	3467
448	2821	3462
449	2827	3456
450	2833	3448
451	2838	3441
452	2843	3433
453	2845	3421
454	2853	3417
455	2862	3414
456	2869	3409
457	2877	3405
458	2880	3394
459	2892	3395
460	2899	3390
461	2906	3385
462	2910	3375
463	2915	3367
464	2925	3366
465	2927	3354
466	2943	3359
467	2947	3350
468	2949	3339
469	2963	3341
470	2975	3342
471	2981	3334
472	2988	3330
473	2991	3319
474	2994	3310
475	2996	3299
476	3001	3291
477	3003	3280
478	3011	3275
479	3013	3264
480	3022	3261
481	3026	3252
482	3045	3259
483	3075	3278
484	3077	3267
485	3092	3270
486	3143	3311
487	3152	3307
488	3155	3297
489	3157	3286
490	3170	3287
491	3195	3299
492	3197	3288
493	3199	3277
494	3201	3266
495	3205	3257
496	3216	3254
497	3218	3244
498	3235	3248
499	3241	3241
500	3253	3240
501	3265	3239
502	3268	3229
503	3278	3226
504	3281	3216
505	3283	3206
506	3289	3198
507	3291	3188
508	3293	3177
509	3306	3176
510	3308	3166
511	3311	3156
512	3313	3146
513	3326	3145
514	3328	3134
515	3329	3123
516	3331	3112
517	3337	3105
518	3339	3094
519	3340	3083
520	3343	3073
521	3345	3063
522	3346	3052
523	3348	3041
524	3354	3035
525	3357	3025
526	3358	3014
527	3360	3004
528	3362	2993
529	3363	2983
530	3365	2972
531	3368	2963
532	3370	2953
533	3373	2943
534	3375	2933
535	3379	2925
536	3381	2915
537	3383	2905
538	3385	2895
539	3387	2885
540	3388	2875
541	3390	2864
542	3393	2856
543	3396	2847
544	3398	2837
545	3401	2828
546	3403	2818
547	3405	2808
548	3409	2801
549	3413	2792
550	3415	2783
551	3417	2773
552	3419	2763
553	3420	2753
554	3426	2747
555	3428	2737
556	3429	2727
557	3431	2718
558	3433	2708
559	3434	2698
560	3436	2689
561	3440	2681
562	3442	2671
563	3443	2662
564	3445	2652
565	3446	2643
566	3450	2635
567	3462	2633
568	3464	2624
569	3466	2614
570	3482	2616
571	3492	2613
572	3496	2605
573	3502	2599
574	3504	2590
575	3507	2581
576	3509	2572
577	3510	2563
578	3512	2553
579	3514	2544
580	3525	2542
581	3527	2533
582	3529	2524
583	3537	2519
584	3540	2511
585	3543	2503
586	3550	2497
587	3554	2490
588	3557	2482
589	3558	2473
590	3560	2464
591	3570	2461
592	3573	2452
593	3576	2444
594	3588	2442
595	3590	2434
596	3603	2432
597	3605	2423
598	3624	2426
599	3689	2459
600	3690	2450
601	3696	2443
602	3702	2437
603	3710	2432
604	3721	2429
605	3758	2443
606	3762	2436
607	3765	2427
608	3767	2418
609	3769	2409
610	3770	2400
611	3779	2395
612	3781	2387
613	3783	2378
614	3785	2369
615	3786	2360
616	3793	2354
617	3795	2345
618	3797	2337
619	3798	2328
620	3800	2319
621	3811	2316
622	3813	2307
623	3815	2298
624	3827	2296
625	3829	2287
626	3831	2279
627	3834	2271
628	3841	2265
629	3843	2257
630	3846	2249
631	3854	2244
632	3856	2235
633	3858	2227
634	3860	2218
635	3862	2210
636	3867	2204
637	3871	2196
638	3876	2189
639	3878	2181
640	3882	2174
641	3885	2166
642	3886	2158
643	3889	2150
644	3891	2141
645	3893	2133
646	3894	2124
647	3907	2122
648	3910	2114
649	3918	2110
650	3921	2102
651	3923	2094
652	3928	2087
653	3930	2079
654	3932	2071
655	3935	2063
656	3937	2055
657	3945	2050
658	3947	2042
659	3949	2034
660	3951	2026
661	3952	2018
662	3954	2010
663	3957	2002
664	3959	1994
665	3961	1986
666	3962	1978
667	3964	1970
668	3965	1962
669	3967	1954
670	3969	1946
671	3970	1938
672	3972	1930
673	3974	1922
674	3976	1914
675	3977	1906
676	3979	1898
677	3980	1890
678	3982	1882
679	3984	1875
680	3986	1867
681	3987	1859
682	3989	1851
683	3990	1843
684	3992	1835
685	3993	1828
686	3995	1820
687	3997	1812
688	3998	1804
689	4000	1797
690	4002	1789
691	4004	1782
692	4005	1774
693	4007	1766
694	4008	1759
695	4010	1751
696	4011	1744
697	4013	1736
698	4030	1735
699	4035	1729
700	4037	1722
701	4040	1715
702	4044	1708
703	4055	1705
704	4058	1698
705	4060	1690
706	4064	1684
707	4070	1678
708	4072	1671
709	4074	1664
710	4075	1656
711	4080	1650
712	4083	1643
713	4084	1636
714	4086	1628
715	4088	1621
716	4090	1614
717	4095	1608
718	4097	1601
719	4099	1594
720	4101	1587
721	4103	1580
722	4105	1573
723	4111	1567
724	4113	1560
725	4115	1553
726	4117	1546
727	4120	1539
728	4125	1533
729	4127	1526
730	4129	1519
731	4131	1512
732	4133	1505
733	4134	1498
734	4136	1491
735	4143	1486
736	4145	1479
737	4147	1472
738	4149	1465
739	4151	1458
740	4153	1451
741	4156	1445
742	4158	1438
743	4160	1431
744	4162	1424
745	4164	1418
746	4166	1411
747	4172	1405
748	4173	1398
749	4175	1391
750	4178	1385
751	4179	1378
752	4181	1371
753	4185	1365
754	4187	1358
755	4189	1352
756	4193	1346
757	4195	1339
758	4199	1333
759	4202	1327
760	4204	1320
761	4207	1314
762	4208	1307
763	4210	1300
764	4217	1295
765	4219	1289
766	4221	1282
767	4224	1276
768	4226	1269
769	4231	1263
770	4232	1257
771	4234	1250
772	4237	1244
773	4239	1237
774	4240	1231
775	4243	1224
776	4244	1218
777	4248	1212
778	4251	1206
779	4262	1202
780	4264	1195
781	4266	1189
782	4268	1182
783	4272	1177
784	4275	1170
785	4277	1164
786	4279	1158
787	4281	1151
788	4283	1145
789	4290	1140
790	4291	1133
791	4293	1127
792	4295	1121
793	4296	1114
794	4298	1108
795	4302	1102
796	4304	1096
797	4305	1089
798	4308	1083
799	4311	1077
800	4312	1071
801	4318	1066
802	4320	1060
803	4322	1053
804	4324	1047
805	4326	1041
806	4328	1035
807	4336	1030
808	4339	1024
809	4341	1018
810	4343	1012
811	4345	1005
812	4348	1000
813	4350	993
814	4354	988
815	4355	982
816	4358	976
817	4367	971
818	4369	965
819	4371	959
820	4372	953
821	4379	948
822	4381	942
823	4383	936
824	4384	930
825	4386	924
826	4388	917
827	4389	911
828	4392	905
829	4395	900
830	4398	894
831	4401	888
832	4407	883
833	4409	877
834	4411	871
835	4415	866
836	4417	860
837	4422	855
838	4424	849
839	4426	843
840	4428	837
841	4431	831
842	4432	825
843	4442	821
844	4444	815
845	4446	809
846	4448	803
847	4454	798
848	4456	792
849	4458	786
850	4460	780
851	4462	775
852	4466	769
853	4469	764
854	4470	758
855	4473	752
856	4474	746
857	4476	740
858	4478	735
859	4481	729
860	4483	723
861	4485	718
862	4488	712
863	4490	706
864	4491	701
865	4493	695
866	4499	690
867	4501	684
868	4503	678
869	4512	674
870	4515	668
871	4517	663
872	4520	657
873	4522	651
874	4533	647
875	4535	641
876	4537	636
877	4538	630
878	4550	626
879	4553	620
880	4565	616
881	4566	610
882	4568	605
883	4569	599
884	4579	595
885	4582	589
886	4583	583
887	4585	578
888	4595	573
889	4597	568
890	4600	562
891	4612	558
892	4614	552
893	4616	547
894	4630	543
895	4632	537
896	4640	532
897	4643	527
898	4644	521
899	4647	516
900	4659	511
901	4664	506
902	4678	502
903	4679	496
904	4686	491
905	4689	486
906	4691	481
907	4693	475
908	4695	470
909	4697	464
910	4700	459
911	4710	454
912	4712	449
913	4714	443
914	4716	438
915	4726	433
916	4728	427
917	4730	422
918	4743	418
919	4747	412
920	4755	407
921	4758	402
922	4760	397
923	4762	391
924	4774	387
925	4776	381
926	4778	376
927	4787	371
928	4789	366
929	4792	360
930	4794	355
931	4809	350
932	4811	345
933	4828	341
934	4831	335
935	4832	330
936	4834	325
937	4849	320
938	4851	315
939	4863	310
940	4867	305
941	4877	300
942	4880	294
943	4883	289
944	4895	284
945	4897	279
946	4899	274
947	4914	269
948	4916	264
949	4925	259
950	4927	253
951	4929	248
952	4931	243
953	4938	238
954	4941	232
955	4942	227
956	4944	222
957	4946	216
958	4951	211
959	4953	206
960	4971	201
961	4973	196
962	4975	191
963	4977	185
964	4979	180
965	4991	175
966	4993	170
967	4995	165
968	4999	159
969	5001	154
970	5003	149
971	5005	144
972	5006	138
973	5008	133
974	5010	128
975	5017	123
976	5019	118
977	5021	112
978	5022	107
979	5024	102
980	5026	97
981	5033	92
982	5036	87
983	5038	81
984	5040	76
985	5042	71
986	5046	66
987	5050	61
988	5053	56
989	5055	51
990	5062	45
991	5064	40
992	5066	35
993	5068	30
994	5070	25
995	5074	20
996	5076	15
997	5078	10
998	5082	5
999	5084	0
